"Country Name","Country Code","Series","Series Code","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"2019",
"Afghanistan","AFG","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","2.40742","2.52557","2.60144","2.65633","2.78733","2.78934","2.91389","3.02499","3.17794","","","","1.76031","","","","2.38475","","","","2.50405","","","","","","","","","","","","","6.43655","7.39388","","","","","8.72657","","9.27881","","","10.17435","","","","10.17643","",
"Albania","ALB","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","11.81056","","","11.75246","","10.95905","11.04754","11.32105","11.57499","11.45117","11.45857","11.48918","11.60293","11.76358","10.66378","10.1265","10.09115","10.16617","10.22845","10.50508","10.66944","10.68494","10.58948","10.68441","10.70152","10.90471","10.88479","11.41928","11.58205","11.96423","12.12488","12.26376","12.99997","13.74845","14.58665","14.92564","15.25242","15.0763","14.8046","14.81613","14.69562","",
"Algeria","DZA","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","9.54047","9.69621","","9.65877","9.71065","9.82047","9.84065","9.91427","9.90187","10.05829","","","10.79994","","11.18767","11.52265","11.74497","12.05364","12.26202","12.34442","12.575","","13.56071","13.9988","14.33228","","","","","","","","",
"American Samoa","ASM","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","12.469","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","3.71629","3.76538","3.53748","3.32483","3.30209","","","","","","3.80477","","","","","","","","","","","","8.63424","9.56008","","","","","","","","",
"Antigua and Barbuda","ATG","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.36162","","15.03484","14.98256","14.69311","14.8575","","","","","","","",
"Arab World","ARB","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","5.92786","5.8984","6.05529","6.23525","6.34172","6.55753","6.80203","7.00951","7.16382","7.35629","7.50975","7.61494","7.76199","7.89052","8.0286","8.15402","8.31307","8.45756","8.52823","8.48107","8.48686","8.53429","8.36066","8.4777","8.78011","8.7153","8.87044","9.00712","9.1403","9.31456","9.44108","9.58175","9.72864","9.85587","10.04223","10.32562","10.37572","10.41903","10.51358","10.59413","10.74074","10.86144","11.16131","11.16451","11.28755","11.46529","11.52886","11.62162","11.72989","",
"Argentina","ARG","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","10.32831","10.51213","10.62432","10.86795","11.24023","11.5158","11.53811","11.4475","11.28088","11.34859","11.37791","11.55903","11.69858","","12.11981","12.71762","12.86757","13.08745","","","","13.23574","","","13.1003","","","","13.93556","14.99422","15.53583","16.16996","16.27959","16.17555","16.22597","15.96781","16.15229","16.1728","16.34155","16.67385","16.96805","17.17383","17.10737","17.09185","17.27014","17.40955","17.66886","17.6542","","",
"Armenia","ARM","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","10.84546","10.76422","10.92055","10.61419","","10.17812","10.53719","11.18412","11.37173","11.18804","10.92091","","","11.02765","11.38528","11.92465","12.61629","12.41085","12.9568","13.08649","13.12233","","13.11046","13.10354","12.96795","","","13.06861","",
"Aruba","ABW","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.31746","13.15937","13.05941","13.18121","13.01923","12.99415","13.16397","13.39948","13.84734","13.37533","13.53996","13.4815","13.25816","13.69127","","","","","","","",
"Australia","AUS","School life expectancy, primary to tertiary, both sexes (years)","SE.SCH.LIFE","","","","","","","","","","","","","","","","","","","","","","","","17.44676","17.41742","18.93137","19.49363","20.30773","","","","","","","","","","","","","","","","","","23.08892","22.7473","21.95433","","",
